meanposx (m) meanposy(m) stddevposx(m)stddevposy(m) 
-0.020 0.038 0.001 0.001 
-0.020 0.038 0.001 0.001 
-0.019 0.038 0.001 0.001 
-0.018 0.037 0.000 0.000 
-0.017 0.037 0.000 0.001 
-0.016 0.036 0.000 0.001 
-0.014 0.036 0.001 0.000 
-0.013 0.036 0.001 0.001 
-0.012 0.035 0.000 0.000 
-0.011 0.035 0.000 0.001 
-0.010 0.034 0.001 0.000 
-0.008 0.034 0.000 0.001 
-0.007 0.033 0.001 0.000 
-0.005 0.033 0.001 0.000 
-0.005 0.032 0.003 0.000 
-0.007 0.032 0.002 0.000 
-0.009 0.032 0.002 0.001 
-0.011 0.031 0.002 0.000 
-0.012 0.031 0.003 0.001 
-0.015 0.030 0.003 0.000 
-0.017 0.030 0.003 0.001 
-0.019 0.029 0.003 0.000 
-0.021 0.029 0.002 0.001 
-0.020 0.028 0.002 0.000 
-0.019 0.028 0.002 0.000 
-0.018 0.028 0.002 0.001 
-0.017 0.027 0.002 0.000 
-0.016 0.027 0.002 0.000 
-0.014 0.027 0.002 0.001 
-0.013 0.026 0.002 0.000 
-0.012 0.026 0.002 0.000 
-0.010 0.025 0.003 0.001 
-0.009 0.025 0.002 0.000 
-0.007 0.025 0.003 0.000 
-0.005 0.024 0.003 0.001 
-0.003 0.024 0.003 0.000 
-0.001 0.024 0.003 0.001 
0.001 0.023 0.004 0.000 
0.003 0.023 0.004 0.000 
0.005 0.022 0.004 0.001 
0.007 0.022 0.004 0.000 
0.009 0.022 0.005 0.000 
