meanposx (m) meanposy(m) stddevposx(m)stddevposy(m) 
-0.020 0.041 0.001 0.000 
-0.020 0.040 0.001 0.000 
-0.020 0.040 0.001 0.001 
-0.019 0.039 0.001 0.001 
-0.018 0.039 0.001 0.001 
-0.017 0.039 0.001 0.001 
-0.016 0.038 0.002 0.000 
-0.015 0.038 0.002 0.001 
-0.014 0.037 0.002 0.001 
-0.013 0.037 0.002 0.001 
-0.012 0.036 0.002 0.001 
-0.011 0.036 0.002 0.001 
-0.010 0.036 0.002 0.001 
-0.009 0.035 0.002 0.001 
-0.008 0.035 0.002 0.001 
-0.006 0.034 0.002 0.001 
-0.005 0.034 0.003 0.001 
-0.003 0.033 0.002 0.001 
-0.002 0.033 0.003 0.001 
-0.000 0.032 0.003 0.001 
0.002 0.032 0.003 0.001 
0.004 0.031 0.003 0.001 
0.005 0.031 0.003 0.001 
0.007 0.030 0.004 0.001 
0.010 0.030 0.004 0.001 
0.012 0.029 0.004 0.001 
0.014 0.028 0.005 0.001 
0.017 0.028 0.005 0.001 
0.020 0.028 0.005 0.001 
0.022 0.027 0.005 0.001 
0.026 0.027 0.006 0.001 
0.029 0.026 0.006 0.001 
0.031 0.026 0.006 0.001 
0.032 0.026 0.006 0.000 
