meanposx (m) meanposy(m) stddevposx(m)stddevposy(m) 
0.023 0.050 0.000 0.024 
0.023 0.050 0.000 0.024 
0.022 0.046 0.000 0.012 
0.021 0.042 0.000 0.001 
0.020 0.041 0.000 0.001 
0.019 0.040 0.000 0.001 
0.018 0.040 0.000 0.001 
0.017 0.039 0.000 0.001 
0.016 0.039 0.000 0.001 
0.015 0.039 0.000 0.001 
0.014 0.038 0.000 0.001 
0.013 0.038 0.000 0.001 
0.012 0.037 0.000 0.001 
0.011 0.037 0.000 0.001 
0.010 0.037 0.000 0.001 
0.008 0.036 0.000 0.001 
0.007 0.036 0.000 0.001 
0.006 0.036 0.000 0.001 
0.004 0.035 0.000 0.001 
0.003 0.035 0.000 0.001 
0.001 0.034 0.000 0.001 
0.000 0.034 0.000 0.001 
-0.002 0.033 0.000 0.001 
-0.004 0.033 0.000 0.001 
-0.006 0.032 0.000 0.001 
-0.007 0.032 0.000 0.001 
-0.009 0.031 0.000 0.001 
-0.012 0.031 0.000 0.001 
-0.014 0.030 0.000 0.001 
-0.016 0.030 0.000 0.001 
-0.019 0.029 0.000 0.001 
-0.022 0.029 0.000 0.001 
-0.024 0.028 0.000 0.001 
-0.027 0.028 0.000 0.001 
-0.030 0.028 0.000 0.001 
-0.032 0.027 0.000 0.001 
-0.034 0.027 0.000 0.001 
-0.035 0.027 0.000 0.001 
