Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID211,211,19,0.608,0.021,0.028,0,0,0,0.005,1,-10921639,49.440,0,0,255,85680,100.840,0.004,1,0.490
ID164,164,19,0.571,0.021,0.028,0,5,1,0.005,1,-10921639,46.203,0,0,255,80070,98.248,0.004,1,0.470
ID59,59,19,0.430,0.022,0.029,0,10,2,0.005,1,-10921639,34.137,0,0,255,59160,86.856,0.003,1,0.393
ID112,112,19,0.385,0.023,0.029,0,15,3,0.005,1,-10921639,30.312,0,0,255,52530,82.551,0.004,1,0.367
ID272,272,19,0.400,0.024,0.030,0,20,4,0.005,1,-10921639,31.783,0,0,255,55080,84.253,0.004,1,0.377
ID273,273,19,0.378,0.024,0.030,0,25,5,0.005,1,-10921639,29.723,0,0,255,51510,81.852,0.004,1,0.363
ID361,361,19,0.388,0.025,0.030,0,30,6,0.005,1,-10921639,30.753,0,0,255,53295,83.068,0.004,1,0.370
ID408,408,19,0.376,0.026,0.031,0,35,7,0.005,1,-10921639,29.576,0,0,255,51255,81.676,0.004,1,0.362
ID458,458,19,0.377,0.026,0.031,0,40,8,0.005,1,-10921639,29.576,0,0,255,51255,81.676,0.004,1,0.362
ID506,506,19,0.375,0.027,0.031,0,45,9,0.005,1,-10921639,29.429,0,0,255,51000,81.499,0.004,1,0.361
ID555,555,19,0.371,0.028,0.032,0,50,10,0.005,1,-10921639,29.134,0,0,255,50490,81.144,0.004,1,0.359
ID599,599,19,0.371,0.029,0.032,0,55,11,0.005,1,-10921639,28.840,0,0,255,49980,80.785,0.004,1,0.357
ID655,655,19,0.379,0.029,0.032,0,60,12,0.005,1,-10921639,29.870,0,0,255,51765,82.028,0.004,1,0.364
ID750,750,19,0.374,0.030,0.033,0,65,13,0.005,1,-10921639,29.282,0,0,255,50745,81.322,0.004,1,0.360
ID803,803,19,0.371,0.031,0.033,0,70,14,0.005,1,-10921639,29.134,0,0,255,50490,81.144,0.004,1,0.359
ID707,707,19,0.366,0.032,0.033,0,75,15,0.005,1,-10921639,28.693,0,0,255,49725,80.605,0.004,1,0.356
ID858,858,19,0.350,0.033,0.034,0,80,16,0.005,1,-10921639,26.927,0,0,255,46665,78.390,0.004,1,0.344
ID955,955,19,0.358,0.034,0.034,0,85,17,0.005,1,-10921639,27.810,0,0,255,48195,79.510,0.004,1,0.350
ID906,906,19,0.364,0.034,0.034,0,90,18,0.005,1,-10921639,28.399,0,0,255,49215,80.243,0.004,1,0.354
ID1000,1000,19,0.356,0.035,0.035,0,95,19,0.005,1,-10921639,27.516,0,0,255,47685,79.139,0.004,1,0.348
ID1048,1048,19,0.354,0.036,0.035,0,100,20,0.005,1,-10921639,27.516,0,0,255,47685,79.139,0.002,1,0.348
ID1100,1100,19,0.353,0.037,0.035,0,105,21,0.005,1,-10921639,27.369,0,0,255,47430,78.953,0.002,1,0.347
ID1143,1143,19,0.346,0.038,0.036,0,110,22,0.005,1,-10921639,26.633,0,0,255,46155,78.010,0.004,1,0.341
ID1186,1186,19,0.356,0.039,0.036,0,115,23,0.005,1,-10921639,27.663,0,0,255,47940,79.325,0.004,1,0.349
ID1235,1235,19,0.344,0.041,0.036,0,120,24,0.005,1,-10921639,26.486,0,0,255,45900,77.820,0.004,1,0.340
ID1280,1280,19,0.340,0.042,0.037,0,125,25,0.005,1,-10921639,26.192,0,0,255,45390,77.436,0.002,1,0.338
ID1327,1327,19,0.339,0.043,0.037,0,130,26,0.005,1,-10921639,26.044,0,0,255,45135,77.243,0.004,1,0.337
ID1366,1366,19,0.338,0.044,0.038,0,135,27,0.005,1,-10921639,26.044,0,0,255,45135,77.243,0.002,1,0.337
ID1405,1405,19,0.337,0.046,0.038,0,140,28,0.005,1,-10921639,26.044,0,0,255,45135,77.243,0.002,1,0.337
ID1449,1449,19,0.339,0.047,0.038,0,145,29,0.005,1,-10921639,26.044,0,0,255,45135,77.243,0.002,1,0.337
ID1538,1538,19,0.331,0.048,0.039,0,150,30,0.005,1,-10921639,25.456,0,0,255,44115,76.463,0.002,1,0.333
ID1495,1495,19,0.328,0.050,0.039,0,155,31,0.005,1,-10921639,25.014,0,0,255,43350,75.870,0.002,1,0.330
ID1631,1631,19,0.321,0.051,0.040,0,160,32,0.005,1,-10921639,24.426,0,0,255,42330,75.068,0.002,1,0.325
ID1583,1583,19,0.317,0.053,0.040,0,165,33,0.005,1,-10921639,24.132,0,0,255,41820,74.662,0.002,1,0.323
ID1711,1711,19,0.319,0.055,0.040,0,170,34,0.005,1,-10921639,24.279,0,0,255,42075,74.866,0.002,1,0.324
ID1667,1667,19,0.319,0.057,0.041,0,175,35,0.005,1,-10921639,24.279,0,0,255,42075,74.866,0.002,1,0.324
ID1754,1754,19,0.308,0.058,0.041,0,180,36,0.005,1,-10921639,23.249,0,0,255,40290,73.424,0.002,1,0.317
ID1783,1783,19,0.305,0.060,0.042,0,185,37,0.005,1,-10921639,22.954,0,0,255,39780,73.004,0.002,1,0.314
ID1814,1814,19,0.301,0.062,0.042,0,190,38,0.005,1,-10921639,22.660,0,0,255,39270,72.580,0.004,1,0.312
