Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID37,37,5,0.509,0.025,0.025,0,0,0,0.005,1,-10921639,44.732,0,0,255,77520,97.011,0.003,0.998,0.461
ID21,21,5,0.505,0.025,0.025,0,5,1,0.005,1,-10921639,44.585,0,0,255,77265,96.885,0.003,0.991,0.458
ID51,51,5,0.380,0.026,0.025,0,10,2,0.005,1,-10921639,33.254,0,0,255,57630,85.897,0.002,0.997,0.387
ID67,67,5,0.399,0.027,0.026,0,15,3,0.005,1,-10921639,35.020,0,0,255,60690,87.796,0.004,1.000,0.399
ID87,87,5,0.390,0.028,0.026,0,20,4,0.005,1,-10921639,35.167,0,0,255,60945,87.951,0.005,0.997,0.399
ID137,137,5,0.367,0.029,0.026,0,25,5,0.005,1,-10921639,32.813,0,0,255,56865,85.410,0.002,1.000,0.384
ID106,106,5,0.358,0.030,0.027,0,30,6,0.005,1,-10921639,31.636,0,0,255,54825,84.086,0.002,1.000,0.376
ID121,121,5,0.359,0.031,0.027,0,35,7,0.005,1,-10921639,31.636,0,0,255,54825,84.086,0.002,1.000,0.376
ID152,152,5,0.358,0.033,0.028,0,40,8,0.005,1,-10921639,31.194,0,0,255,54060,83.579,0.002,1.000,0.373
ID182,182,5,0.361,0.034,0.028,0,45,9,0.005,1,-10921639,31.636,0,0,255,54825,84.086,0.002,1.000,0.376
ID198,198,5,0.352,0.035,0.029,0,50,10,0.005,1,-10921639,30.753,0,0,255,53295,83.068,0.004,1.000,0.370
ID166,166,5,0.350,0.037,0.029,0,55,11,0.005,1,-10921639,30.753,0,0,255,53295,83.068,0.002,1.000,0.370
ID228,228,5,0.355,0.038,0.030,0,60,12,0.005,1,-10921639,30.753,0,0,255,53295,83.068,0.002,1.000,0.370
ID213,213,5,0.342,0.040,0.030,0,65,13,0.005,1,-10921639,29.576,0,0,255,51255,81.676,0.002,1.000,0.362
ID245,245,5,0.502,0.040,0.030,0,70,14,0.005,1,-10921639,43.996,0,0,255,76245,96.378,0.003,1.000,0.456
ID267,267,5,0.537,0.039,0.030,0,75,15,0.005,1,-10921639,47.086,0,0,255,81600,98.972,0.004,1.000,0.476
ID286,286,5,0.499,0.037,0.031,0,80,16,0.005,1,-10921639,42.525,0,0,255,73695,95.082,0.003,1.000,0.447
ID300,300,5,0.509,0.035,0.031,0,85,17,0.005,1,-10921639,43.555,0,0,255,75480,95.993,0.004,1.000,0.454
ID315,315,5,0.508,0.033,0.032,0,90,18,0.005,1,-10921639,43.407,0,0,255,75225,95.864,0.004,1.000,0.453
ID331,331,5,0.515,0.031,0.033,0,95,19,0.005,1,-10921639,44.143,0,0,255,76500,96.505,0.003,1.000,0.457
