Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID471,471,70,0.331,0.023,0.021,0,5,1,0.005,1,-10921639,27.85,0,0,255,52275,79.559,0.002,0.958,0.343
ID209,209,70,0.322,0.023,0.021,0,10,2,0.005,1,-10921639,28.122,0,0,255,52785,79.898,0.004,0.94,0.341
ID338,338,70,0.345,0.024,0.022,0,15,3,0.005,1,-10921639,30.432,0,0,255,57120,82.69,0.002,0.931,0.355
ID1033,1033,70,0.334,0.025,0.022,0,20,4,0.005,1,-10921639,29.209,0,0,255,54825,81.232,0.002,0.948,0.35
ID1175,1175,70,0.338,0.026,0.023,0,25,5,0.005,1,-10921639,29.888,0,0,255,56100,82.047,0.003,0.95,0.355
ID846,846,70,0.338,0.027,0.023,0,30,6,0.005,1,-10921639,29.345,0,0,255,55080,81.396,0.002,0.979,0.357
ID1381,1381,70,0.332,0.027,0.024,0,35,7,0.005,1,-10921639,28.665,0,0,255,53805,80.569,0.003,0.994,0.355
ID1567,1567,70,0.333,0.028,0.024,0,40,8,0.005,1,-10921639,28.665,0,0,255,53805,80.569,0.002,0.997,0.355
ID1718,1718,70,0.327,0.029,0.024,0,45,9,0.005,1,-10921639,28.394,0,0,255,53295,80.235,0.003,0.99,0.352
ID1861,1861,70,0.335,0.03,0.025,0,50,10,0.005,1,-10921639,28.937,0,0,255,54315,80.902,0.002,1,0.358
ID2059,2059,70,0.322,0.031,0.025,0,55,11,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.004,1,0.349
ID2234,2234,70,0.321,0.033,0.026,0,60,12,0.005,1,-10921639,27.171,0,0,255,51000,78.7,0.002,1,0.345
ID2400,2400,70,0.327,0.034,0.026,0,65,13,0.005,1,-10921639,28.122,0,0,255,52785,79.898,0.002,1,0.352
ID2563,2563,70,0.322,0.035,0.027,0,70,14,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.003,1,0.347
ID2732,2732,70,0.318,0.036,0.027,0,75,15,0.005,1,-10921639,27.171,0,0,255,51000,78.7,0.004,1,0.345
ID2822,2822,70,0.32,0.038,0.028,0,80,16,0.005,1,-10921639,27.443,0,0,255,51510,79.045,0.004,1,0.347
ID3163,3163,70,0.325,0.039,0.028,0,85,17,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.003,1,0.349
ID3246,3246,70,0.327,0.041,0.029,0,90,18,0.005,1,-10921639,27.579,0,0,255,51765,79.217,0.002,1,0.348
ID2997,2997,70,0.31,0.042,0.029,0,95,19,0.005,1,-10921639,26.22,0,0,255,49215,77.471,0.003,1,0.338
ID3436,3436,70,0.331,0.044,0.03,0,100,20,0.005,1,-10921639,27.986,0,0,255,52530,79.728,0.003,1,0.351
ID3619,3619,70,0.319,0.046,0.03,0,105,21,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.003,1,0.343
ID3754,3754,70,0.308,0.048,0.031,0,110,22,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.002,1,0.336
ID3890,3890,70,0.309,0.05,0.031,0,115,23,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.003,1,0.336
ID4076,4076,70,0.312,0.052,0.032,0,120,24,0.005,1,-10921639,25.948,0,0,255,48705,77.115,0.003,1,0.336
ID4176,4176,70,0.32,0.054,0.032,0,125,25,0.005,1,-10921639,27.035,0,0,255,50745,78.526,0.002,1,0.344
ID4309,4309,70,0.305,0.057,0.033,0,130,26,0.005,1,-10921639,25.541,0,0,255,47940,76.575,0.003,1,0.334
ID4420,4420,70,0.315,0.059,0.034,0,135,27,0.005,1,-10921639,26.492,0,0,255,49725,77.826,0.003,1,0.34
ID4580,4580,70,0.31,0.062,0.034,0,140,28,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.003,1,0.337
ID4674,4674,70,0.3,0.065,0.034,0,145,29,0.005,1,-10921639,25.269,0,0,255,47430,76.211,0.003,1,0.332
ID4612,4612,70,0.301,0.068,0.035,0,150,30,0.005,1,-10921639,25.405,0,0,255,47685,76.393,0.003,1,0.333
ID4796,4796,70,0.297,0.071,0.035,0,155,31,0.005,1,-10921639,25.133,0,0,255,47175,76.029,0.003,1,0.331
ID5058,5058,70,0.307,0.074,0.035,0,160,32,0.005,1,-10921639,26.084,0,0,255,48960,77.293,0.003,1,0.337
ID4917,4917,70,0.302,0.077,0.036,0,165,33,0.005,1,-10921639,27.714,0,0,255,52020,79.388,0.003,0.711,0.29
ID5223,5223,70,0.286,0.077,0.036,0,170,34,0.005,1,-10921639,26.899,0,0,255,50490,78.352,0.019,0.6,0.257
