Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID14379,14379,7,0.543,0.066,0.022,0,0,0,0.005,1,-10921639,49.293,0,0,255,85425,100.726,0.003,0.848,0.449
ID14681,14681,7,0.480,0.066,0.021,0,5,1,0.005,1,-10921639,38.846,0,0,255,67320,91.660,0.003,0.998,0.423
ID14502,14502,7,0.470,0.065,0.022,0,10,2,0.005,1,-10921639,38.405,0,0,255,66555,91.231,0.004,0.998,0.420
ID14684,14684,7,0.413,0.064,0.023,0,15,3,0.005,1,-10921639,33.696,0,0,255,58395,86.379,0.004,1.000,0.390
ID15270,15270,7,0.412,0.063,0.023,0,20,4,0.005,1,-10921639,33.696,0,0,255,58395,86.379,0.004,0.997,0.390
ID15002,15002,7,0.415,0.062,0.023,0,25,5,0.005,1,-10921639,33.990,0,0,255,58905,86.698,0.003,0.994,0.391
ID15107,15107,7,0.420,0.061,0.024,0,30,6,0.005,1,-10921639,34.432,0,0,255,59670,87.172,0.003,0.997,0.394
ID15443,15443,7,0.417,0.060,0.024,0,35,7,0.005,1,-10921639,33.843,0,0,255,58650,86.539,0.003,0.997,0.391
ID15765,15765,7,0.405,0.059,0.024,0,40,8,0.005,1,-10921639,32.960,0,0,255,57120,85.573,0.004,0.994,0.384
ID16064,16064,7,0.425,0.058,0.025,0,45,9,0.005,1,-10921639,34.726,0,0,255,60180,87.485,0.003,0.986,0.394
ID15590,15590,7,0.417,0.057,0.025,0,50,10,0.005,1,-10921639,33.990,0,0,255,58905,86.698,0.003,1.000,0.392
ID15916,15916,7,0.416,0.056,0.026,0,55,11,0.005,1,-10921639,33.843,0,0,255,58650,86.539,0.003,1.000,0.391
ID16227,16227,7,0.420,0.055,0.026,0,60,12,0.005,1,-10921639,34.284,0,0,255,59415,87.014,0.003,1.000,0.394
ID16393,16393,7,0.415,0.054,0.027,0,65,13,0.005,1,-10921639,33.843,0,0,255,58650,86.539,0.003,1.000,0.391
ID16353,16353,7,0.420,0.053,0.027,0,70,14,0.005,1,-10921639,33.990,0,0,255,58905,86.698,0.004,1.000,0.392
ID16663,16663,7,0.417,0.051,0.027,0,75,15,0.005,1,-10921639,33.990,0,0,255,58905,86.698,0.004,1.000,0.392
ID16815,16815,7,0.433,0.050,0.028,0,80,16,0.005,1,-10921639,35.462,0,0,255,61455,88.259,0.004,1.000,0.402
ID17313,17313,7,0.438,0.049,0.028,0,85,17,0.005,1,-10921639,35.609,0,0,255,61710,88.412,0.003,1.000,0.403
ID16967,16967,7,0.460,0.047,0.029,0,90,18,0.005,1,-10921639,37.816,0,0,255,65535,90.652,0.003,1.000,0.417
ID17142,17142,7,0.460,0.046,0.029,0,95,19,0.005,1,-10921639,37.669,0,0,255,65280,90.506,0.003,1.000,0.416
ID17479,17479,7,0.457,0.044,0.030,0,100,20,0.005,1,-10921639,37.374,0,0,255,64770,90.213,0.003,1.000,0.414
ID17639,17639,7,0.460,0.043,0.030,0,105,21,0.005,1,-10921639,37.669,0,0,255,65280,90.506,0.003,1.000,0.416
ID17802,17802,7,0.457,0.041,0.031,0,110,22,0.005,1,-10921639,37.080,0,0,255,64260,89.918,0.003,1.000,0.412
ID17886,17886,7,0.469,0.039,0.031,0,115,23,0.005,1,-10921639,38.405,0,0,255,66555,91.231,0.003,1.000,0.421
ID18052,18052,7,0.465,0.037,0.032,0,120,24,0.005,1,-10921639,38.110,0,0,255,66045,90.942,0.003,1.000,0.419
ID18336,18336,7,0.547,0.036,0.032,0,125,25,0.005,1,-10921639,47.527,0,0,255,82365,99.329,0.004,1.000,0.478
ID18224,18224,7,0.540,0.034,0.033,0,130,26,0.005,1,-10921639,46.497,0,0,255,80580,98.491,0.003,1.000,0.472
ID18449,18449,7,0.544,0.031,0.033,0,135,27,0.005,1,-10921639,47.233,0,0,255,81855,99.092,0.003,1.000,0.477
ID18574,18574,7,0.538,0.029,0.034,0,140,28,0.005,1,-10921639,46.645,0,0,255,80835,98.612,0.004,1.000,0.473
ID18818,18818,7,0.547,0.027,0.034,0,145,29,0.005,1,-10921639,48.116,0,0,255,83385,99.801,0.003,0.954,0.471
ID18697,18697,7,0.522,0.024,0.035,0,150,30,0.005,1,-10921639,46.792,0,0,255,81090,98.732,0.003,0.862,0.439
ID18937,18937,7,0.522,0.021,0.035,0,155,31,0.005,1,-10921639,49.587,0,0,255,85935,100.954,0.003,0.877,0.459
ID19064,19064,7,0.580,0.019,0.035,0,160,32,0.005,1,-10921639,52.972,0,0,255,91800,103.479,0.004,0.909,0.488
ID19173,19173,7,0.597,0.016,0.036,0,165,33,0.005,1,-10921639,55.326,0,0,255,95880,105.136,0.004,0.900,0.499
ID19277,19277,7,0.517,0.013,0.036,0,170,34,0.005,1,-10921639,48.263,0,0,255,83640,99.918,0.003,0.892,0.455
ID19348,19348,7,0.484,0.011,0.036,0,175,35,0.005,1,-10921639,44.732,0,0,255,77520,97.011,0.003,0.863,0.427
ID19413,19413,7,0.425,0.009,0.036,0,180,36,0.005,1,-10921639,44.437,0,0,255,77010,96.759,0.019,0.458,0.288
ID19473,19473,7,0.456,0.008,0.036,0,185,37,0.005,1,-10921639,48.999,0,0,255,84915,100.497,0.017,0.414,0.286
