,A,B,C,D,E,F,G,H,I,J,K
1,17,13,10,10,9,8,9,10,11,12,21
2,34,23,16,14,12,12,12,14,17,21,32
3,37,27,20,17,15,14,15,17,20,24,32
4,34,28,23,20,17,17,17,19,22,26,31
5,32,28,24,21,19,18,19,20,24,27,31
6,32,28,25,22,20,20,20,21,24,27,30
7,31,28,25,22,20,20,20,22,24,27,30
8,31,28,25,22,20,20,20,22,24,27,30
9,31,28,25,22,20,19,19,21,24,27,31
10,31,27,23,20,18,18,18,19,23,27,32
11,32,26,22,18,17,15,16,17,21,27,33
12,31,25,19,16,14,13,13,14,19,25,34
13,30,21,16,12,10,9,9,11,13,18,31
14,15,13,12,8,6,4,4,7,9,9,13
