,A,B,C,D,E,F,G,H,I,J,K
1,-20,-11,-6,-4,-3,-1,1,2,5,8,11
2,-34,-20,-12,-8,-4,-1,1,4,7,13,22
3,-34,-23,-16,-9,-6,-1,1,6,10,17,24
4,-31,-23,-17,-11,-6,-2,2,7,10,17,23
5,-28,-23,-17,-11,-6,-2,2,7,12,16,22
6,-27,-23,-17,-11,-6,-2,2,7,12,17,22
7,-25,-22,-17,-11,-7,-1,2,7,13,17,22
8,-25,-22,-16,-12,-7,-1,2,7,12,18,22
9,-26,-21,-16,-11,-6,-1,2,7,13,18,23
10,-26,-21,-16,-10,-6,-1,2,7,13,18,25
11,-25,-21,-15,-10,-6,-1,2,6,12,19,27
12,-26,-19,-13,-8,-5,1,2,6,11,16,28
13,-26,-14,-9,-6,-4,-1,1,5,8,14,27
14,-15,-6,-6,-6,-3,-2,0,3,6,8,9
